answer,qid
fox,fables-04-1
"A Fox a Stork dinner , at which the only fare provided was a large flat dish of soup",fables-04-2
"to dinner , at which the only fare provided was a large flat dish of soup",fables-04-3
"A Fox a Stork dinner , at which the only fare provided was a large flat dish of soup",fables-04-4
"invited a Stork to dinner , at which the only fare provided was a large flat dish of soup",fables-04-5
The fox began to be hungry and began to be helpless because he was n't able to reach some food that was in the pitcher .,fables-04-6
The stork the long bill of the stork the long and narrow neck of the pitcher,fables-04-7
"Thus , while she enjoyed her dinner , the Fox sat by hungry and helpless , for it was impossible for him to reach the tempting contents of the vessel .",fables-04-8
the fox it great relish the stork with her long bill vain the savoury broth,fables-04-9
the fox it great relish the stork with her long bill vain the savoury broth,fables-04-10
"the stork him turn him a pitcher with a long and narrow neck , into which she could get her bill with ease",fables-04-11
A clever fox a stork to dine,fables-04-12
"a fox a stork dinner , at which the only fare provided was a large flat dish of soup",fables-04-13
countryman,fables-03-1
An Eagle a Serpent it his talons the intention of carrying it off and devouring it,fables-03-2
An Eagle a Serpent it his talons the intention of carrying it off and devouring it,fables-03-3
countryman,fables-03-4
An Eagle a Serpent it his talons the intention of carrying it off and devouring it,fables-03-5
In revenge the Serpent spat some of his poison into the man 's drinking-horn,fables-03-6
"A countryman , who was a witness of the encounter , the assistance of the Eagle him the Serpent him",fables-03-7
The eagle the drinking vessel,fables-03-8
An eagle a serpent it order for he it,fables-03-9
"with his exertions with a draught from the horn , when the Eagle knocked it out of his hand , and spilled its contents upon the ground",fables-03-10
An Eagle a Serpent it his talons the intention of carrying it off and devouring it,fables-03-11
the Serpent spat some of his poison into the man 's drinking-horn,fables-03-12
an eagle a serpent it his talons the intention of carrying it off and devouring it,fables-03-13
the serpent him its coils him a moment there a life-and-death struggle between the two,fables-03-14
"a countryman , who was a witness of the encounter , the assistance of the eagle him the serpent him",fables-03-15
"a countryman , who was a witness of the encounter , the assistance of the eagle him the serpent him",fables-03-16
"a countryman , who was a witness of the encounter , the assistance of the eagle him the serpent him",fables-03-17
"a countryman , who was a witness of the encounter , the assistance of the eagle him the serpent him",fables-03-18
"a countryman , who was a witness of the encounter , the assistance of the eagle him the serpent him",fables-03-19
revenge the serpent spat some of his poison into the man 's drinking-horn,fables-03-20
"his exertions the man his thirst a draught the horn , when the eagle knocked it out of his hand , and spilled its contents upon the ground",fables-03-21
years,blogs-02-1
of the young man on the front yard of a narrator of the young man,blogs-02-2
i,blogs-02-3
The narrator later went back to the spot of the yard of the narrator and decided to talk to the young man because it wanted the young man to know the narrator regretting that it had not aided him .,blogs-02-4
of the young man on the front yard of a narrator of the young man,blogs-02-5
A young man the motorbike of the young man the front yard of a narrator the neck of the young man,blogs-02-6
"my logical mind it my brother playing around with his new flashlight all like it , but the closest thing I could imagine I the house everyone",blogs-02-7
years,blogs-02-8
A few years a young man my front lawn he his motorbike,blogs-02-9
A few years a young man my front lawn he his motorbike,blogs-02-10
The narrator the flash an orb,blogs-02-11
The narrator some bright flash a group of trees that was above the narrator,blogs-02-12
a few years a young man my front lawn he his motorbike,blogs-02-13
of the young man on the front yard of a narrator of the young man,blogs-02-14
A young man the motorbike of the young man the front yard of a narrator the neck of the young man,blogs-02-15
The narrator the spot of the yard of the narrator the young man it the young man the narrator regretting that it had not aided him,blogs-02-16
We a large stainless steel bowl of water the back deck for Benjamin to drink out of when he 's playing outside,blogs-04-1
The squirrel the deck 's railing the squirrel the squirrel,blogs-04-2
The squirrel 's paw the deck 's railing,blogs-04-3
the day many birds it it,blogs-04-4
squirrels,blogs-04-5
i,blogs-04-6
This one of those times I wish I had a digital camera,blogs-04-7
times,blogs-04-8
on the railing,blogs-04-9
of water outside on the back deck for benjamin to drink out of when he 's playing outside,blogs-04-10
by in fright at what i believe was his own reflection in the bowl,blogs-04-11
The narrator placed the bowl on the deck in order for Benjamin to drink the bowl 's water .,blogs-04-12
"throughout the day , many birds drink out of it and bathe in it .",blogs-04-13
we a large stainless steel bowl of water the back deck for benjamin to drink out of when he 's playing outside,blogs-04-14
Louisiana Hurricane Gustav,blogs-03-1
The storm Monday September 1 the morning,blogs-03-2
Winds,blogs-03-3
president,blogs-03-4
to me in all of last weekend on the Weather Channel and local news,blogs-03-5
to a store named Home Depot in order to purchase a portable generator,blogs-03-6
An area of a neighborhood of the narrator a large group of pine trees a group of oak trees,blogs-03-7
"The narrator began to be concerned because -- if the first tree were to later fall , and were to later fall on the house of the narrator -- the house of the narrator would have begun to be damaged , and the family of the narrator would begin to be wounded .",blogs-03-8
on the house of the narrator of the narrator of the narrator,blogs-03-9
The narrator a group of cars the container of some gasoline,blogs-03-10
An area of a neighborhood of the narrator a large group of pine trees a group of oak trees,blogs-03-11
12:30 pm i my back patio i a large tree split two my neighbor 's yard,blogs-03-12
12:30 pm i my back patio i a large tree split two my neighbor 's yard,blogs-03-13
The narrator the first tree the house of the narrator the house of the narrator the family of the narrator,blogs-03-14
"my wife , our five children , and our dog , an area of the home we safest",blogs-03-15
on a branch of a tree with a piece of cheese in her beak of getting the cheese,fables-01-1
Some cheese the beak of the crow,fables-01-2
A Crow a branch of a tree with a piece of cheese in her beak a Fox her his wits some way of getting the cheese,fables-01-3
was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese,fables-01-4
under the tree above me,fables-01-5
the tree he What a noble bird I see above me,fables-01-6
fox,fables-01-7
a crow a branch of a tree with a piece of cheese in her beak a fox her his wits some way of getting the cheese,fables-01-8
on a branch of a tree with a piece of cheese in her beak of getting the cheese,fables-01-9
a crow a branch of a tree with a piece of cheese in her beak a fox her his wits some way of getting the cheese,fables-01-10
a crow a branch of a tree with a piece of cheese in her beak a fox her his wits some way of getting the cheese,fables-01-11
The fox the beauty of the bird incomparable,fables-01-12
flattered,fables-01-13
lion,fables-02-1
bull,fables-02-2
in the world,fables-02-3
The bull grazing in a meadow,fables-02-4
lion,fables-02-5
What a fine head !,fables-02-6
"my dear friend , what in the world makes you those ugly horns",fables-02-7
bull,fables-02-8
What a fine head !,fables-02-9
The lion did n't attack the bull because the lion feared sharp every horn of the bull .,fables-02-10
What a fine head !,fables-02-11
"my dear friend , what in the world makes you those ugly horns",fables-02-12
a lion a fat bull feeding a meadow his mouth he the royal feast he he him he his sharp horns,fables-02-13
"a lion watched a fat bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .",fables-02-14
a lion a fat bull feeding a meadow his mouth he the royal feast he he him he afraid of his sharp horns,fables-02-15
"a lion watched a fat bull feeding in a meadow , and his mouth watered when he thought of the royal feast he would make , but he did not dare to attack him , for he was afraid of his sharp horns .",fables-02-16
a lion a fat bull feeding a meadow his mouth he the royal feast he he him he afraid of his sharp horns,fables-02-17
a lion a fat bull feeding a meadow his mouth he the royal feast he he him he his sharp horns,fables-02-18
Today the start of the G20 summit,blogs-01-1
A summit meeting named G20 summit eventful today,blogs-01-2
of people who have different views on how to run the government they follow so they protest,blogs-01-3
there many leaders their a lot of people who have different views on how to run the government they follow so they protest,blogs-01-4
views,blogs-01-5
There a protest that happened along the street where I work it a bunch of people a riot,blogs-01-6
There a protest that happened along the street where I work it peaceful a bunch of people a riot,blogs-01-7
The people a police car a thing a police,blogs-01-8
Police cars things cops,blogs-01-9
There a protest that happened along the street where I work it peaceful a bunch of people a riot,blogs-01-10
things worse gas and bean bag bullets the rioters they windows of stores,blogs-01-11
things worse gas and bean bag bullets the rioters they windows of stores,blogs-01-12
Today a very eventful work day,blogs-01-13
The police a gas the people a bullet the people the people a window,blogs-01-14
things gas and bean bag bullets the rioters they windows of stores,blogs-01-15
since there are so many leaders coming together their are going to be a lot of people who have different views on how to run the government they follow so they protest .,blogs-01-16
there many leaders their a lot of people who have different views on how to run the government they follow so they protest,blogs-01-17
police were in full riot gear to alleviate the violence .,blogs-01-18
She 's now in Miami .,mc500.train.0.1
swimming she her friend Ellen 's house,mc500.train.0.2
kristin,mc500.train.0.3
to the beach after a long trip,mc500.train.0.4
It a happy time for everyone,mc500.train.0.5
