answer,qid
in his lair by a Mouse running over his face,fables-06-1
"The Mouse , terrified , him its life",fables-06-2
"The idea of so insignificant a creature able to do anything for him amused the Lion so much that he laughed aloud , and good-humouredly let it go",fables-06-3
for your kindness,fables-06-4
The lion awaked because a mouse ran into the face of the lion .,fables-06-5
One day the Lion a net which had been spread for game by some hunters the Mouse his anger the spot,fables-06-6
day,fables-06-7
The mouse the rope of the net the tooth of the mouse,fables-06-8
a lion asleep in his lair a mouse running over his face,fables-06-9
A trapper spread some net in order to catch a big game .,fables-06-10
The mouse the lion to spare it,fables-06-11
a lion asleep in his lair a mouse running over his face,fables-06-12
more ado it the ropes its teeth the lion free,fables-06-13
A Lion asleep in his lair was waked up by a Mouse running over his face.,fables-06-14
A Lion asleep in his lair was waked up by a Mouse running over his face.,fables-06-15
A Lion asleep in his lair was waked up by a Mouse running over his face.,fables-06-16
"One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot.",fables-06-17
"One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot.",fables-06-18
Losing his temper he seized it with his paw and was about to kill it.,fables-06-19
Losing his temper he seized it with his paw and was about to kill it.,fables-06-20
Losing his temper he seized it with his paw and was about to kill it.,fables-06-21
A Lion asleep in his lair was waked up by a Mouse running over his face.,fables-06-22
A Lion asleep in his lair was waked up by a Mouse running over his face.,fables-06-23
"One day the Lion got entangled in a net which had been spread for game by some hunters, and the Mouse heard and recognised his roars of anger and ran to the spot.",fables-06-24
A Lion asleep in his lair was waked up by a Mouse running over his face.,fables-06-25
lion,fables-06-26
a lion asleep in his lair a mouse running over his face,fables-06-27
"""Please let me go,"" it cried, ""and one day I will repay you for your kindness.""",fables-06-28
Louisiana Hurricane Gustav,blogs-03-1
The storm Monday September 1 the morning,blogs-03-2
Winds,blogs-03-3
president,blogs-03-4
to me in all of last weekend on the Weather Channel and local news,blogs-03-5
to a store named Home Depot in order to purchase a portable generator,blogs-03-6
An area of a neighborhood of the narrator a large group of pine trees a group of oak trees,blogs-03-7
"The narrator began to be concerned because -- if the first tree were to later fall , and were to later fall on the house of the narrator -- the house of the narrator would have begun to be damaged , and the family of the narrator would begin to be wounded .",blogs-03-8
on the house of the narrator of the narrator of the narrator,blogs-03-9
